Pest_ID,Pest_Name,Research_Status,Verification_Status,Record_Status
PST001,Ants,Pending,Pending,Pending
PST002,Bees,Pending,Pending,Pending
PST003,Beetles,Pending,Pending,Pending
PST004,Caterpillars,Pending,Pending,Pending
PST005,Earthworms,Pending,Pending,Pending
PST006,Earwigs,Pending,Pending,Pending
PST007,Grasshoppers,Pending,Pending,Pending
PST008,Moths,Pending,Pending,Pending
PST009,Slugs,Pending,Pending,Pending
PST010,Snails,Pending,Pending,Pending
PST011,Wasps,Pending,Pending,Pending
PST012,Weevils,Pending,Pending,Pending